Date,Credicorp,Peru_Mercado,Precio_cobre,ETF_XLF
2022-06,95.88707733154297,22.199665069580078,3.7144999504089355,29.474924087524414
2022-07,103.475830078125,22.52152442932129,3.5840001106262207,31.592994689941406
2022-08,103.06800842285156,22.130075454711914,3.5185000896453857,30.97444725036621
2022-09,98.19808959960938,21.347169876098633,3.441999912261963,28.603055953979492
2022-10,117.03805541992188,22.852083206176758,3.4135000705718994,32.01356887817383
2022-11,122.78760528564453,25.818418502807617,3.7295000553131104,34.20872497558594
2022-12,108.48170471191406,25.377155303955078,3.805500030517578,32.42287063598633
2023-01,107.3941650390625,27.519210815429688,4.228499889373779,34.660240173339844
2023-02,101.89250946044922,25.704660415649414,4.097499847412109,33.86388397216797
2023-03,105.86682891845703,26.97927474975586,4.104499816894531,30.630674362182617
2023-04,108.33776092529297,27.457250595092773,3.869999885559082,31.602468490600586
2023-05,108.9216079711914,26.049867630004883,3.63100004196167,30.25910186767578
2023-06,124.22700500488281,27.77609634399414,3.740999937057495,32.26105880737305
2023-07,132.14474487304688,30.676044464111328,3.994499921798706,33.811424255371094
2023-08,119.00179290771484,29.02669906616211,3.7725000381469727,32.90225601196289
2023-09,107.67630767822266,27.35016441345215,3.7260000705718994,31.886167526245117
2023-10,105.14363098144531,26.144874572753906,3.6414999961853027,31.107519149780273
2023-11,105.62324523925781,27.748912811279297,3.8289999961853027,34.510501861572266
2023-12,126.15385437011719,31.806800842285156,3.880500078201294,36.32365036010742
2024-01,124.89171600341797,31.140687942504883,3.9024999141693115,37.44427490234375
2024-02,143.78158569335938,32.519168853759766,3.8345000743865967,38.970645904541016
2024-03,142.56150817871094,36.238285064697266,4.003499984741211,40.843414306640625
2024-04,139.3472900390625,37.783294677734375,4.564499855041504,39.13676071166992
2024-05,147.0130157470703,40.56800842285156,4.610000133514404,40.37796401977539
2024-06,143.46484375,38.119564056396484,4.390500068664551,40.02186965942383
2024-07,151.74388122558594,38.96287536621094,4.159999847412109,42.58225631713867
2024-08,158.60011291503906,38.545955657958984,4.144999980926514,44.52932357788086
2024-09,163.5899200439453,40.9148063659668,4.495999813079834,44.280452728271484
2024-10,166.44642639160156,41.293827056884766,4.313499927520752,45.41384506225586
2024-11,167.65773010253906,40.40313720703125,4.08050012588501,50.16236114501953
2024-12,165.71421813964844,38.71562194824219,3.9860000610351562,47.422794342041016
2025-01,165.51535034179688,39.3704948425293,4.26200008392334,50.503849029541016
2025-02,165.44302368164062,40.01559066772461,4.514500141143799,51.200523376464844
2025-03,168.28146362304688,42.898983001708984,5.019999980926514,49.05253601074219
2025-04,182.77197265625,43.32905197143555,4.559999942779541,48.018497467041016
2025-05,202.25039672851562,45.58688735961914,4.652500152587891,50.1850471496582
2025-06,213.431884765625,48.39072799682617,5.03000020980835,51.75035095214844
2025-07,226.30349731445312,48.45048141479492,4.33050012588501,51.75035095214844
2025-08,245.59182739257812,53.57936096191406,4.518499851226807,53.3511848449707
2025-09,254.26199340820312,61.24778366088867,4.804999828338623,53.407840728759766
2025-10,249.22030639648438,62.52253341674805,5.065499782562256,51.92070770263672
2025-11,245.60134887695312,64.20560455322266,5.185500144958496,52.872474670410156
2025-12,274.0468444824219,72.3499984741211,5.630000114440918,54.48990249633789
2026-01,340.7251892089844,86.5999984741211,5.896999835968018,53.16670227050781
2026-02,330.7468566894531,93.83999633789062,6.004499912261963,51.16698455810547
2026-03,323.8717956542969,80.70999908447266,5.587500095367432,49.369998931884766
2026-04,309.5392761230469,79.37000274658203,5.926000118255615,52.130001068115234
2026-05,342.6300048828125,85.7699966430664,6.359499931335449,51.58000183105469
